,STNAME,CTYNAME,POPESTIMATE2019,FIPS
1,Connecticut,Fairfield County,943332,09001
2,Connecticut,Hartford County,891720,09003
3,Connecticut,Litchfield County,180333,09005
4,Connecticut,Middlesex County,162436,09007
5,Connecticut,New Haven County,854757,09009
6,Connecticut,New London County,265206,09011
7,Connecticut,Tolland County,150721,09013
8,Connecticut,Windham County,116782,09015
10,Maine,Androscoggin County,108277,23001
11,Maine,Aroostook County,67055,23003
12,Maine,Cumberland County,295003,23005
13,Maine,Franklin County,30199,23007
14,Maine,Hancock County,54987,23009
15,Maine,Kennebec County,122302,23011
16,Maine,Knox County,39772,23013
17,Maine,Lincoln County,34634,23015
18,Maine,Oxford County,57975,23017
19,Maine,Penobscot County,152148,23019
20,Maine,Piscataquis County,16785,23021
21,Maine,Sagadahoc County,35856,23023
22,Maine,Somerset County,50484,23025
23,Maine,Waldo County,39715,23027
24,Maine,Washington County,31379,23029
25,Maine,York County,207641,23031
27,Massachusetts,Barnstable County,212990,25001
28,Massachusetts,Berkshire County,124944,25003
29,Massachusetts,Bristol County,565217,25005
30,Massachusetts,Dukes County,17332,25007
31,Massachusetts,Essex County,789034,25009
32,Massachusetts,Franklin County,70180,25011
33,Massachusetts,Hampden County,466372,25013
34,Massachusetts,Hampshire County,160830,25015
35,Massachusetts,Middlesex County,1611699,25017
36,Massachusetts,Nantucket County,11399,25019
37,Massachusetts,Norfolk County,706775,25021
38,Massachusetts,Plymouth County,521202,25023
39,Massachusetts,Suffolk County,803907,25025
40,Massachusetts,Worcester County,830622,25027
42,New Hampshire,Belknap County,61303,33001
43,New Hampshire,Carroll County,48910,33003
44,New Hampshire,Cheshire County,76085,33005
45,New Hampshire,Coos County,31563,33007
46,New Hampshire,Grafton County,89886,33009
47,New Hampshire,Hillsborough County,417025,33011
48,New Hampshire,Merrimack County,151391,33013
49,New Hampshire,Rockingham County,309769,33015
50,New Hampshire,Strafford County,130633,33017
51,New Hampshire,Sullivan County,43146,33019
53,New Jersey,Atlantic County,263670,34001
54,New Jersey,Bergen County,932202,34003
55,New Jersey,Burlington County,445349,34005
56,New Jersey,Camden County,506471,34007
57,New Jersey,Cape May County,92039,34009
58,New Jersey,Cumberland County,149527,34011
59,New Jersey,Essex County,798975,34013
60,New Jersey,Gloucester County,291636,34015
61,New Jersey,Hudson County,672391,34017
62,New Jersey,Hunterdon County,124371,34019
63,New Jersey,Mercer County,367430,34021
64,New Jersey,Middlesex County,825062,34023
65,New Jersey,Monmouth County,618795,34025
66,New Jersey,Morris County,491845,34027
67,New Jersey,Ocean County,607186,34029
68,New Jersey,Passaic County,501826,34031
69,New Jersey,Salem County,62385,34033
70,New Jersey,Somerset County,328934,34035
71,New Jersey,Sussex County,140488,34037
72,New Jersey,Union County,556341,34039
73,New Jersey,Warren County,105267,34041
75,New York,Albany County,305506,36001
76,New York,Allegany County,46091,36003
77,New York,Bronx County,1418207,36005
78,New York,Broome County,190488,36007
79,New York,Cattaraugus County,76117,36009
80,New York,Cayuga County,76576,36011
81,New York,Chautauqua County,126903,36013
82,New York,Chemung County,83456,36015
83,New York,Chenango County,47207,36017
84,New York,Clinton County,80485,36019
85,New York,Columbia County,59461,36021
86,New York,Cortland County,47581,36023
87,New York,Delaware County,44135,36025
88,New York,Dutchess County,294218,36027
89,New York,Erie County,918702,36029
90,New York,Essex County,36885,36031
91,New York,Franklin County,50022,36033
92,New York,Fulton County,53383,36035
93,New York,Genesee County,57280,36037
94,New York,Greene County,47188,36039
95,New York,Hamilton County,4416,36041
96,New York,Herkimer County,61319,36043
97,New York,Jefferson County,109834,36045
98,New York,Kings County,2559903,36047
99,New York,Lewis County,26296,36049
