fips,state,county,pop,land_area,pop_density
09001,Connecticut,Fairfield County,943332,624.89,1509.5968890524732
09003,Connecticut,Hartford County,891720,735.1,1213.0594476941912
09005,Connecticut,Litchfield County,180333,920.56,195.8948900669158
09007,Connecticut,Middlesex County,162436,369.3,439.84836176550226
09009,Connecticut,New Haven County,854757,604.51,1413.966683760401
09011,Connecticut,New London County,265206,664.88,398.8779930212971
09013,Connecticut,Tolland County,150721,410.21,367.42400234026474
09015,Connecticut,Windham County,116782,512.91,227.68516893802033
23001,Maine,Androscoggin County,108277,467.93,231.39572158228793
23003,Maine,Aroostook County,67055,6671.33,10.051219172189054
23005,Maine,Cumberland County,295003,835.24,353.1954887218045
23007,Maine,Franklin County,30199,1696.61,17.799612167793423
23009,Maine,Hancock County,54987,1586.89,34.65079495113083
23011,Maine,Kennebec County,122302,867.52,140.97888233124308
23013,Maine,Knox County,39772,365.13,108.92558814668749
23015,Maine,Lincoln County,34634,455.82,75.98174718090475
23017,Maine,Oxford County,57975,2076.84,27.915005489108452
23019,Maine,Penobscot County,152148,3397.36,44.784185367461795
23021,Maine,Piscataquis County,16785,3960.86,4.237716051564559
23023,Maine,Sagadahoc County,35856,253.7,141.33228222309816
23025,Maine,Somerset County,50484,3924.4,12.864132096626236
23027,Maine,Waldo County,39715,729.92,54.410072336694434
23029,Maine,Washington County,31379,2562.66,12.244698867582903
23031,Maine,York County,207641,990.71,209.58807320002825
25001,Massachusetts,Barnstable County,212990,393.72,540.9682007518032
25003,Massachusetts,Berkshire County,124944,926.83,134.80789357271559
25005,Massachusetts,Bristol County,565217,553.1,1021.9074308443319
25007,Massachusetts,Dukes County,17332,103.25,167.864406779661
25009,Massachusetts,Essex County,789034,492.56,1601.9043365275297
25011,Massachusetts,Franklin County,70180,699.32,100.35463021220613
25013,Massachusetts,Hampden County,466372,617.14,755.6988689762453
25015,Massachusetts,Hampshire County,160830,527.26,305.02977658081403
25017,Massachusetts,Middlesex County,1611699,817.82,1970.7258320901908
25019,Massachusetts,Nantucket County,11399,44.97,253.48009784300646
25021,Massachusetts,Norfolk County,706775,396.11,1784.2897175027138
25023,Massachusetts,Plymouth County,521202,659.08,790.8023305213327
25025,Massachusetts,Suffolk County,803907,58.15,13824.711951848667
25027,Massachusetts,Worcester County,830622,1510.77,549.8004328918366
33001,New Hampshire,Belknap County,61303,400.23,153.169427579142
33003,New Hampshire,Carroll County,48910,931.06,52.531523210104616
33005,New Hampshire,Cheshire County,76085,706.66,107.66846857045822
33007,New Hampshire,Coos County,31563,1794.69,17.586881299834513
