,LOC_ID,is_rural
0,L0,0
1,L1,0
2,L2,0
3,L3,0
4,L4,1
5,L5,0
6,L6,0
7,L7,0
8,L8,0
9,L9,0
10,L10,0
11,L11,0
12,L12,0
13,L13,0
14,L14,0
15,L15,0
16,L16,0
17,L17,0
18,L18,0
19,L19,0
20,L20,0
21,L21,1
22,L22,0
23,L23,0
24,L24,0
25,L25,1
26,L26,0
27,L27,0
28,L28,0
29,L29,0
30,L30,0
31,L31,0
32,L32,0
33,L33,0
34,L34,0
35,L35,0
36,L36,0
37,L37,0
38,L38,1
39,L39,0
40,L40,0
41,L41,1
42,L42,0
43,L43,0
44,L44,0
45,L45,0
46,L46,1
47,L47,0
48,L48,0
49,L49,0
50,L50,1
51,L51,1
52,L52,0
53,L53,0
54,L54,1
55,L55,0
56,L56,0
57,L57,1
58,L58,0
59,L59,0
60,L60,0
61,L61,0
62,L62,0
63,L63,1
64,L64,0
65,L65,0
66,L66,0
67,L67,0
68,L68,1
69,L69,0
70,L70,0
71,L71,0
72,L72,0
73,L73,0
74,L74,0
75,L75,0
76,L76,0
77,L77,0
78,L78,1
79,L79,0
80,L80,1
81,L81,0
82,L82,1
83,L83,0
84,L84,0
85,L85,0
86,L86,0
87,L87,0
88,L88,0
89,L89,0
90,L90,0
91,L91,0
92,L92,0
93,L93,1
94,L94,0
95,L95,1
96,L96,0
97,L97,0
98,L98,0
99,L99,0
100,L100,1
101,L101,0
102,L102,0
103,L103,0
104,L104,1
105,L105,0
106,L106,0
107,L107,1
108,L108,0
109,L109,0
110,L110,1
111,L111,0
112,L112,0
113,L113,1
114,L114,0
115,L115,0
116,L116,0
117,L117,0
118,L118,0
119,L119,0
120,L120,0
121,L121,0
122,L122,1
123,L123,0
124,L124,0
125,L125,0
126,L126,0
127,L127,0
128,L128,1
129,L129,0
130,L130,0
131,L131,0
132,L132,1
133,L133,0
134,L134,0
135,L135,1
136,L136,1
137,L137,0
138,L138,1
139,L139,0
140,L140,0
141,L141,0
142,L142,0
143,L143,1
144,L144,1
145,L145,0
146,L146,0
147,L147,0
148,L148,0
149,L149,0
150,L150,1
151,L151,0
152,L152,1
153,L153,1
154,L154,0
155,L155,0
156,L156,1
157,L157,1
158,L158,1
159,L159,1
160,L160,0
161,L161,1
162,L162,1
163,L163,0
164,L164,0
165,L165,0
166,L166,1
167,L167,1
168,L168,1
169,L169,0
170,L170,1
171,L171,1
172,L172,0
173,L173,1
174,L174,0
175,L175,0
176,L176,0
177,L177,0
178,L178,0
179,L179,0
180,L180,0
181,L181,1
182,L182,1
183,L183,0
184,L184,1
185,L185,0
186,L186,0
187,L187,0
188,L188,0
189,L189,0
190,L190,1
191,L191,0
192,L192,1
193,L193,0
194,L194,1
195,L195,0
196,L196,1
197,L197,1
198,L198,0
199,L199,0
200,L200,0
201,L201,0
202,L202,0
203,L203,0
204,L204,0
205,L205,1
206,L206,1
207,L207,0
208,L208,0
209,L209,1
210,L210,1
211,L211,0
212,L212,0
213,L213,0
214,L214,0
215,L215,1
216,L216,1
217,L217,1
218,L218,0
219,L219,0
220,L220,1
221,L221,0
222,L222,0
223,L223,0
224,L224,0
225,L225,0
226,L226,0
227,L227,0
228,L228,0
229,L229,0
230,L230,0
231,L231,0
232,L232,0
233,L233,0
234,L234,0
235,L235,0
236,L236,0
237,L237,0
238,L238,0
239,L239,0
240,L240,1
241,L241,0
242,L242,0
243,L243,0
244,L244,0
245,L245,0
246,L246,1
247,L247,0
248,L248,0
249,L249,1
250,L250,0
251,L251,1
252,L252,0
253,L253,1
254,L254,0
255,L255,0
256,L256,1
257,L257,0
258,L258,0
